title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
'til there was you (1997),2.3333333333333335,9,"Last of the Mohicans, The (1992)",Happy Gilmore (1996),Pretty Woman (1990),Clueless (1995)
1-900 (1994),2.6,5,Raging Bull (1980),Ed Wood (1994),Carrie (1976),"Cable Guy, The (1996)"
101 dalmatians (1996),2.908256880733945,109,Twister (1996),Father of the Bride Part II (1995),"Hunchback of Notre Dame, The (1996)",Grumpier Old Men (1995)
12 angry men (1957),4.344,125,"Bridge on the River Kwai, The (1957)","Graduate, The (1967)",North by Northwest (1959),M*A*S*H (1970)
187 (1997),3.024390243902439,41,Scream 2 (1997),G.I. Jane (1997),Jackie Brown (1997),Rosewood (1997)
2 days in the valley (1996),3.225806451612903,93,Donnie Brasco (1997),Bound (1996),Heat (1995),Beautiful Girls (1996)
"20,000 leagues under the sea (1954)",3.5,72,"Sound of Music, The (1965)",Star Trek IV: The Voyage Home (1986),Jurassic Park (1993),2001: A Space Odyssey (1968)
2001: a space odyssey (1968),3.969111969111969,259,"Graduate, The (1967)",Blade Runner (1982),Apocalypse Now (1979),Brazil (1985)
3 ninjas: high noon at mega mountain (1998),1.0,5,-,-,-,-
"39 steps, the (1935)",4.0508474576271185,59,Con Air (1997),"Frighteners, The (1996)",Swingers (1996),"River Wild, The (1994)"
8 1/2 (1963),3.8157894736842106,38,Star Trek VI: The Undiscovered Country (1991),"Rainmaker, The (1997)",One Fine Day (1996),"Close Shave, A (1995)"
8 heads in a duffel bag (1997),3.25,4,Jerry Maguire (1996),Rosewood (1997),"River Wild, The (1994)",Ransom (1996)
8 seconds (1994),3.75,4,"Devil's Advocate, The (1997)",Die Hard 2 (1990),Die Hard: With a Vengeance (1995),Seven (Se7en) (1995)
a chef in love (1996),4.125,8,Austin Powers: International Man of Mystery (1997),Tomorrow Never Dies (1997),In & Out (1997),"Bridge on the River Kwai, The (1957)"
above the rim (1994),3.0,5,Father of the Bride Part II (1995),"First Wives Club, The (1996)",This Is Spinal Tap (1984),Fly Away Home (1996)
absolute power (1997),3.37007874015748,127,Murder at 1600 (1997),Volcano (1997),"African Queen, The (1951)",Mimic (1997)
"abyss, the (1989)",3.589403973509934,151,William Shakespeare's Romeo and Juliet (1996),Ghost (1990),Singin' in the Rain (1952),Amistad (1997)
ace ventura: pet detective (1994),3.0485436893203883,103,"Edge, The (1997)",Scream 2 (1997),Shine (1996),"Nightmare on Elm Street, A (1984)"
ace ventura: when nature calls (1995),2.675675675675676,37,Secrets & Lies (1996),"Killing Fields, The (1984)",Spawn (1997),"Good, The Bad and The Ugly, The (1966)"
